Lat,Lon,Importancia,Acidente,Teatro_Maritimo,Lat_original,Lon_original
37.82025438807663,-8.857750763667099,8.0,1,Continente,37.83083333333333,-8.797666666666666
37.82025438807663,-8.857750763667099,8.0,1,Continente,37.83083333333333,-8.797666666666666
39.823166666666665,-9.021666666666667,10.0,1,Continente,39.823166666666665,-9.021666666666667
36.63333333333333,-9.716666666666667,4.0,0,Continente,36.63333333333333,-9.716666666666667
37.083666666666666,-8.451166666666667,10.0,1,Continente,37.083666666666666,-8.451166666666667
32.60005,-16.782983333333334,8.0,1,Madeira,32.60005,-16.782983333333334
39.053016666666664,-27.950966666666666,8.0,1,Açores,39.053016666666664,-27.950966666666666
39.053016666666664,-27.950966666666666,8.0,1,Açores,39.053016666666664,-27.950966666666666
41.32633333333333,-8.765333333333333,5.0,0,Continente,41.32633333333333,-8.765333333333333
37.030833333333334,-9.243666666666666,4.0,0,Continente,37.030833333333334,-9.243666666666666
39.5,-9.705,4.0,0,Continente,39.5,-9.705
41.486666666666665,-9.018333333333333,5.0,0,Continente,41.486666666666665,-9.018333333333333
38.3156094541249,-9.179026984836803,10.0,1,Continente,38.41266666666667,-9.011833333333334
40.61333333333333,-8.781666666666666,8.0,1,Continente,40.61333333333333,-8.781666666666666
38.4,-12.733333333333333,5.0,0,Continente,38.4,-12.733333333333333
38.69166666666667,-9.721833333333333,5.0,0,Continente,38.69166666666667,-9.721833333333333
40.265,-9.083333333333334,5.0,0,Continente,40.265,-9.083333333333334
37.922783333333335,-9.224666666666666,10.0,1,Continente,37.922783333333335,-9.224666666666666
37.922783333333335,-9.224666666666666,10.0,1,Continente,37.922783333333335,-9.224666666666666
37.922783333333335,-9.224666666666666,10.0,1,Continente,37.922783333333335,-9.224666666666666
36.864,-7.792333333333334,10.0,1,Continente,36.864,-7.792333333333334
37.387166666666666,-9.819833333333333,5.0,0,Continente,37.387166666666666,-9.819833333333333
41.3475,-8.760833333333334,5.0,0,Continente,41.3475,-8.760833333333334
36.115,-9.846666666666666,5.0,0,Continente,36.115,-9.846666666666666
41.333333333333336,-8.833333333333334,4.0,0,Continente,41.333333333333336,-8.833333333333334
38.4885,-9.594333333333333,4.0,0,Continente,38.4885,-9.594333333333333
40.11,-8.89,8.0,1,Continente,40.11,-8.89
36.81068333333333,-8.977516666666666,4.0,0,Continente,36.81068333333333,-8.977516666666666
40.12833333333333,-8.9285,5.0,0,Continente,40.12833333333333,-8.9285
40.12833333333333,-8.9285,5.0,0,Continente,40.12833333333333,-8.9285
38.104695474171166,-9.024172929838087,5.0,0,Continente,38.17016666666667,-8.9
39.725,-9.463333333333333,8.0,1,Continente,39.725,-9.463333333333333
37.79266666666667,-8.938166666666667,5.0,0,Continente,37.79266666666667,-8.938166666666667
39.26996047497631,-9.45588491642488,8.0,1,Continente,39.266666666666666,-9.4
41.342333333333336,-10.195,4.0,0,Continente,41.342333333333336,-10.195
39.59316666666667,-30.938,5.0,0,Açores,39.59316666666667,-30.938
36.81166666666667,-8.836666666666666,8.0,1,Continente,36.81166666666667,-8.836666666666666
37.085166666666666,-8.438833333333333,8.0,1,Continente,37.085166666666666,-8.438833333333333
40.952,-9.346333333333334,10.0,1,Continente,40.952,-9.346333333333334
38.913383333333336,-9.760316666666666,4.0,0,Continente,38.913383333333336,-9.760316666666666
37.836666666666666,-8.886666666666667,8.0,1,Continente,37.836666666666666,-8.886666666666667
39.26,-9.951666666666666,5.0,0,Continente,39.26,-9.951666666666666
40.31333333333333,-8.975,5.0,0,Continente,40.31333333333333,-8.975
38.970166666666664,-9.7695,5.0,0,Continente,38.970166666666664,-9.7695
38.970166666666664,-9.7695,5.0,0,Continente,38.970166666666664,-9.7695
37.7695,-25.813833333333335,10.0,1,Açores,37.7695,-25.813833333333335
36.88333333333333,-9.286166666666666,8.0,1,Continente,36.88333333333333,-9.286166666666666
40.709,-9.7415,8.0,1,Continente,40.709,-9.7415
32.545,-17.154666666666667,8.0,1,Madeira,32.545,-17.154666666666667
37.049110053544545,-8.252450139438897,8.0,1,Continente,37.083,-8.2525
37.049110053544545,-8.252450139438897,8.0,1,Continente,37.083,-8.2525
39.151833333333336,-9.710333333333333,8.0,1,Continente,39.151833333333336,-9.710333333333333
37.0179,-9.113166666666666,5.0,0,Continente,37.0179,-9.113166666666666
37.09916666666667,-8.671666666666667,5.0,1,Continente,37.09916666666667,-8.671666666666667
40.31333333333333,-10.128333333333334,8.0,1,Continente,40.31333333333333,-10.128333333333334
37.015,-8.14,8.0,1,Continente,37.015,-8.14
37.49166666666667,-30.221666666666668,10.0,1,Açores,37.49166666666667,-30.221666666666668
37.49166666666667,-30.221666666666668,10.0,1,Açores,37.49166666666667,-30.221666666666668
37.49066666666667,-9.701666666666666,4.0,0,Continente,37.49066666666667,-9.701666666666666
40.89666666666667,-8.903333333333334,4.0,0,Continente,40.89666666666667,-8.903333333333334
37.07216666666667,-8.2545,8.0,1,Continente,37.07216666666667,-8.2545
37.07216666666667,-8.2545,8.0,1,Continente,37.07216666666667,-8.2545
37.54833333333333,-9.785,4.0,0,Continente,37.54833333333333,-9.785
36.712666666666664,-8.974833333333333,4.0,0,Continente,36.712666666666664,-8.974833333333333
